Breed Name,min_weight,max_weight
Affenpinscher,3.17514659,4.535923700000000
Afghan Hound,22.6796185,27.2155422
Airedale Terrier,22.6796185,31.751465900000000
Akita,31.751465900000000,58.9670081
Alaskan Malamute,34.01942775,38.55535145
American Bulldog,27.2155422,45.359237
American English Coonhound,20.41165665,29.48350405
American Eskimo Dog,2.7215542200000000,15.875732950000000
American Foxhound,27.2155422,31.751465900000000
American Hairless Terrier,5.4431084400000000,7.25747792
American Leopard Hound,20.41165665,31.751465900000000
American Staffordshire Terrier,18.143694800000000,31.751465900000000
American Water Spaniel,11.33980925,20.41165665
Anatolian Shepherd Dog,36.287389600000000,68.0388555
Appenzeller Sennenhund,21.772433760000000,31.751465900000000
Australian Cattle Dog,15.875732950000000,22.6796185
Australian Kelpie,,
Australian Shepherd,18.143694800000000,29.48350405
Australian Stumpy Tail Cattle Dog,14.51495584,20.41165665
Australian Terrier,6.80388555,9.071847400000000
Azawakh,14.968548210000000,24.947580350000000
Barbet,15.875732950000000,29.48350405
Basenji,9.979032140000000,10.886216880000000
Basset Fauve de Bretagne,12.24699399,15.875732950000000
Basset Hound,18.143694800000000,29.48350405
Bavarian Mountain Scent Hound,16.78291769,29.937096420000000
Beagle,5.8967008100000000,13.6077711
Bearded Collie,20.41165665,24.947580350000000
Beauceron,31.751465900000000,49.895160700000000
Bedlington Terrier,7.71107029,10.43262451
Belgian Laekenois,24.947580350000000,29.48350405
Belgian Malinois,18.143694800000000,36.287389600000000
Belgian Sheepdog,20.41165665,34.01942775
Belgian Tervuren,20.41165665,34.01942775
Bergamasco Sheepdog,25.85476509,38.10175908
Berger Picard,22.6796185,31.751465900000000
Bernese Mountain Dog,31.751465900000000,52.163122550000000
Bichon Frise,5.4431084400000000,8.164662660000000
Biewer Terrier,1.81436948,3.62873896
Black and Tan Coonhound,29.48350405,49.895160700000000
Black Russian Terrier,36.287389600000000,58.9670081
Bloodhound,36.287389600000000,49.895160700000000
Bluetick Coonhound,20.41165665,36.287389600000000
Boerboel,68.0388555,90.718474
Bohemian Shepherd,16.78291769,27.2155422
Bolognese,2.4947580350000000,4.082331330000000
Border Collie,13.6077711,24.947580350000000
Border Terrier,5.216312255,7.030681735
Borzoi,27.2155422,47.62719885
Boston Terrier,5.4431084400000000,11.33980925
Bouvier des Flandres,31.751465900000000,49.895160700000000
Boxer,6.80388555,36.287389600000000
Boykin Spaniel,11.33980925,18.143694800000000
Bracco Italiano,24.947580350000000,40.8233133
Braque du Bourbonnais,15.875732950000000,24.04039561
Braque Francais Pyrenean,18.143694800000000,24.947580350000000
Briard,24.947580350000000,45.359237
Brittany,13.6077711,18.143694800000000
Broholmer,40.8233133,68.0388555
Brussels Griffon,3.62873896,4.535923700000000
Bull Terrier,22.6796185,31.751465900000000
Bulldog,18.143694800000000,22.6796185
Bullmastiff,45.359237,58.9670081
Cairn Terrier,5.8967008100000000,6.35029318
Canaan Dog,15.875732950000000,24.947580350000000
Cane Corso,0.0,0.0
Cardigan Welsh Corgi,11.33980925,17.23651006
Carolina Dog,13.6077711,24.947580350000000
Catahoula Leopard Dog,22.6796185,43.09127515
Caucasian Shepherd Dog,44.905644630000000,77.1107029
Cavalier King Charles Spaniel,5.8967008100000000,8.164662660000000
Cavapoo,8.0,20.0
Central Asian Shepherd Dog,39.916128560000000,49.895160700000000
Cesky Terrier,6.35029318,10.886216880000000
Chesapeake Bay Retriever,24.947580350000000,36.287389600000000
Chihuahua,2.7215542200000000,2.7215542200000000
Chinese Crested,3.62873896,5.4431084400000000
Chinese Shar-Pei,20.41165665,27.2155422
Chinook,22.6796185,40.8233133
Chow Chow,20.41165665,31.751465900000000
Cirneco dell'Etna,7.71107029,11.793401620000000
Clumber Spaniel,24.947580350000000,38.55535145
Cockapoo,12.0,24.0
Cocker Spaniel,9.071847400000000,13.6077711
Collie,22.6796185,34.01942775
Coton de Tulear,3.62873896,6.80388555
Croatian Sheepdog,13.15417873,19.958064280000000
Curly-Coated Retriever,27.2155422,43.09127515
Czechoslovakian Vlcak,19.958064280000000,25.85476509
Dachshund,4.9895160700000000,14.51495584
Dalmatian,20.41165665,31.751465900000000
Dandie Dinmont Terrier,8.164662660000000,10.886216880000000
Danish-Swedish Farmdog,6.80388555,9.071847400000000
Deutscher Wachtelhund,18.143694800000000,24.947580350000000
Doberman Pinscher,27.2155422,45.359237
Dogo Argentino,39.916128560000000,45.359237
Dogue de Bordeaux,44.905644630000000,49.895160700000000
Drentsche Patrijshond,21.772433760000000,33.11224301
Drever,15.875732950000000,18.143694800000000
Dutch Shepherd,19.05087954,34.01942775
English Cocker Spaniel,11.793401620000000,15.42214058
English Foxhound,27.2155422,34.01942775
English Setter,20.41165665,36.287389600000000
English Springer Spaniel,18.143694800000000,22.6796185
English Toy Spaniel,3.62873896,6.35029318
Entlebucher Mountain Dog,18.143694800000000,29.48350405
Estrela Mountain Dog,34.926612490000000,59.874192840000000
Eurasier,18.143694800000000,31.751465900000000
Field Spaniel,15.875732950000000,22.6796185
Finnish Lapphund,14.968548210000000,24.04039561
Finnish Spitz,9.071847400000000,14.968548210000000
Flat-Coated Retriever,27.2155422,31.751465900000000
French Bulldog,12.70058636,12.70058636
French Spaniel,22.6796185,27.2155422
German Longhaired Pointer,24.947580350000000,36.287389600000000
German Pinscher,11.33980925,20.41165665
German Shepherd Dog,22.6796185,40.8233133
German Shorthaired Pointer,20.41165665,31.751465900000000
German Spitz,10.886216880000000,11.793401620000000
German Wirehaired Pointer,22.6796185,31.751465900000000
Giant Schnauzer,24.947580350000000,38.55535145
Glen of Imaal Terrier,14.51495584,18.143694800000000
Golden Retriever,24.947580350000000,34.01942775
Goldendoodle,15.0,90.0
Gordon Setter,20.41165665,36.287389600000000
Grand Basset Griffon Vendéen,18.143694800000000,20.41165665
Great Dane,49.895160700000000,79.37866475
Great Pyrenees,38.55535145,45.359237
Greater Swiss Mountain Dog,38.55535145,63.502931800000000
Greyhound,27.2155422,31.751465900000000
Hamiltonstovare,18.143694800000000,34.01942775
Hanoverian Scenthound,35.83379723,44.905644630000000
Harrier,20.41165665,27.2155422
Havanese,3.17514659,5.8967008100000000
Hokkaido,19.958064280000000,29.937096420000000
Hovawart,29.48350405,40.8233133
Ibizan Hound,20.41165665,22.6796185
Icelandic Sheepdog,11.33980925,13.6077711
Irish Red and White Setter,15.875732950000000,27.2155422
Irish Setter,27.2155422,31.751465900000000
Irish Terrier,11.33980925,12.24699399
Irish Water Spaniel,20.41165665,30.84428116
Irish Wolfhound,47.62719885,54.4310844
Italian Greyhound,3.17514659,6.35029318
Jagdterrier,7.71107029,9.979032140000000
Japanese Chin,3.17514659,4.9895160700000000
Japanese Spitz,4.535923700000000,11.33980925
Jindo,13.6077711,22.6796185
Kai Ken,9.071847400000000,18.143694800000000
